#       STEP   TIME                     ENERGY                     TEMPERATURE
           1   2.0000000000000000E-002  -2590792.6685285205        224.52936809510365     
           2   4.0000000000000001E-002  -2583823.9756518803        229.52717101330020     
           3   5.9999999999999998E-002  -2577085.6190847959        234.57159129017339     
           4   8.0000000000000002E-002  -2570713.3784813946        237.67737257933814     
           5  0.10000000000000001       -2568620.9505880498        238.17937611974801     
           6  0.12000000000000000       -2575350.4008949678        236.56889219730954     
           7  0.14000000000000001       -2577924.4667757461        233.94308907827724     
           8  0.16000000000000000       -2593985.7625476411        231.34094920679644     
           9  0.18000000000000002       -2591757.6811300460        229.21933389903555     
          10  0.20000000000000001       -2564642.3117020256        227.55824449548388     
